Stem,Word
ขณะ,"ครู่,ครั้ง,คราว,เวลา,สมัย,ขณะ"
นก,"วิหค,ปักษา,นกกาเหว่า,นกกระจอก,เหยี่ยว,แร้ง,กา,นกฮูก,นก"
แทง,"เสียบ,จ้วง,กะซวก,เจาะ,ทิ่ม"
ดึง  ,"เหนี่ยวมา,ฉุดมา,รั้งมา"
กระบวนการ,"ขบวน,วิธีการ,ลำดับรายการ"
กิน,"กินเคี้ยว,เคี้ยวกลืน,ดื่ม,รับประทาน,แดก,ยัดห่า"
กำแหง ,"แข็งแรง,กล้าแข็ง,เข้มแข็ง,อวดดี"
อวัยวะเพศหญิง,"หี,เป็ด,จิ๋ม,น้องสาว"
อวัยวะเพศชาย,"ควย,องคชาติ,กระเจี๊ยว,เจี๊ยว, ไข่,ปิกาจู,น้องชาย"
โกรธ ,"เคือง,แค้น,กริ้ว,โมโห"
เสือก ,"ไสไป,ผลักไป,ทะลึ่ง,แส่"
กษัตริย์,"ในหลวง,พระราชา,รัชกาลที่ 10,ร.10,พระวชิรเกล้าเจ้าอยู่หัว"
ตาย,"ถึงแก่กรรม,เสียชีวิต,สวรรคต,มรณภาพ,ทิวงคต,สิ้นพระชนม์,จากไปอย่างสงบ,จากไปแล้ว,ม่องเท่ง"
เสริม,"เพิ่ม,เติม,ต่อเติม,หนุน,กระตุ้น"
วิจารณ์,"ตำหนิ,ติเตียน"
ด่า,"ว่าร้าย,กรรโชก,ต่อว่า,สบถ"
ฆ่า,"สังหาร,ลอบสังหาร,ฆ่าฟัน,ฆ่าแกง,ฆ่าตัดตอน,ลอบฆ่า"
ประชาชน,"ประชากร,พสกนิกร,ราษฎร,พลเมือง"
เศร้า,"สลด,ระทด,หมอง,ไม่เบิกบาน,เป็นทุกข์,ทุกข์ใจ,เศร้าหมอง"
งู,"อสรพิษ,นาคา,งูเห่า,จงอาง"
สุข,"สุขขี,สุขใจ,สบายใจ,เป็นสุข,ฟิน"
แม่,มารดา
พ่อ,บิดา
เพื่อน,"เกลอ,มิตร,สหาย,ผองเพื่อน"
บะหมี่กึ่งสำเร็จรูป,"มาม่า,ไวไว,ยำยำ,เอฟเอฟ"
ผงซักฟอก,"แฟ้บ,บรีส,น้ำยาซักผ้า"
เครื่องปรับอากาศ,แอร์
ดวงอาทิตย์,"พระอาทิตย์,ตะวัน,ดวงตะวัน"
ดวงจันทร์,"พระจันทร์,จันทรา,ลูนาร์"
เพศสัมพันธ์,"เย็ด,ปี้,กิจกรรมบนเตียง,กีฬาบนเตียง"
บิน,"เหาะ,ลอย,เหาะเหิน"
อาหาร,"ของกิน,ข้าว,ก๋วยเตี๋ยว,มื้อเช้า,มื้อเที่ยง,มื้อเย็น"
โสเภณี,"กะหรี่,สาวขายบริการ,สาวขายตัว,1500 พี่ว่าไง"
โทรทัศน์,ทีวี
โทรศัพท์,"มือถือ,ไอโฟน,โทสับ"
ภาคตะวันออกเฉียงเหนือ,อีสาน
สุนัข,"หมา,เพื่อนสี่ขา,ไอตูบ,เจ้าตูบ,ตูบ"
นายกรัฐมนตรี,"นายก,ลุงตู่,ไอตู่,ประยุทธ์,ประยุทธ จันทร์โอชา"
ผ้าอนามัย,โกเต็ก
ถุงยาง,"ถุงยางอนามัย,ดูเร็กซ์,ดูเร็ก"
หมึก,"ปลาหมึก,หมึกสาย,หมึกกล้วย,หมึกยักษ์,ปลาหมึกยักษ์"
รองเท้า,เกือก
คอมพิวเตอร์,"คอม,โน้ตบุค,คอมตั้งโต๊ะ,พีซี,เครื่องคอม"
โควิด-19,"โคโรน่า,โควิด"
ฟุตบอล,บอล
ทิชชู๋,"กระดาษชำระ,กระดาษเช็ดหน้า,กระดาษเช็ดมือ"
เงิน,ตังค์
รถจักรยานยนต์,"มอเตอร์ไซค์,รถเครื่อง,มอไซค์"
เกม,"เกมส์,เกมออนไลน์,เกมมือถือ,เกมโทรศัพท์"
ร้านเกม,"ร้านเน็ต,เน็ตคาเฟ่"
ภาพยนตร์,หนัง
โรงภาพยนตร์,"โรงหนัง,เมเจอร์,เอสเอฟ"
โคล่า,"โค้ก,โคคาโคล่า,เป็ปซี่,เอส"
นักแสดง,ดารา
ลูก,"บุตร,ธิดา"
พระ,"สงฆ์,พระสงฆ์,หลวงพ่อ,หลวงพี่,หลวงปู่,โล้นห่มเหลือง"
กะ,"เดา,คาด,คาดคะเน"
กลัว,"ขลาด,ขยาด,หวาด"
ชก,ต่อย
ค้าน,"แย้ง,คัดค้าน,ไม่เห็นด้วย"
แกะ,"แคะ,แงะ,แซะ"
ทุจริต,โกง
แพ้,"แพ้พ่าย,พ่าย,ปราชัย,เสียท่า"
แตะ,"ต้อง,ถูก,สัมผัส"
บวม,พอง
อุทกภัย,น้ำท่วม
เกาะ,ยึด
เลือก,สรรหา
มาก,"หลาย,เยอะ,เยอะแยะ"
หมู,สุกร
โง่,"โง่เง่า,เขลา,เบาปัญญา,ควาย,ทึ่ม"
ถ้วย,ชาม
พระเจ้า,"อัลลอฮ์,เยวาห์,ซุส,เซอุส,ยาเวห์,ยะโฮวาห์"